Fleet,Vehicle,Damage reporting date,Damage closing date,Damage category,Damage area,Damage description,Damage code +text,damage number,Priority,Safety issue,action code description,action code text,Komfortgrupp,Verkstadssignatur
F26,F26001,2018-04-04,2018-09-04,ENERGIFÖRSÖRJNING,Jordfelsbrytare 230V löst ut 2 ggr felkod 2034 har återställt me,Jordfelsbrytare 230V löst ut 2 ggr felkod 2034 har återställt men den löser   efter en stund igen,34 DC KONTROLL,18023717,4,,PROVAD U-A,Provad,,XTK
F26,F26001,2018-05-04,2018-09-04,"TÅGRADIO, ATP OCH SIGNALUTRUSTNING",Strålkastare A2  Fel på glödtråd/kortslutning (13303).,Strålkastare A2: Fel på glödtråd/kortslutning (13303).,"93 SIGNALUTRUSTNING, OPTISK OCH AKUSTISK",18023869,4,,PROVAD U-A,Alla strålkastare fungerar,,XTK
F26,F26001,2018-06-04,4/13/2018,ENERGIFÖRSÖRJNING,Jordfel manöverström 110v nivå2 kommer och går.,Jordfel manöverström 110v nivå2 kommer och går.,31 STRÖM- OCH LINJESPÄNNINGSSTRYRNING,18024666,4,,RENGJORT,"överledning i konatkblock i magnetskena, sanerat test ok",,XTK
F26,F26001,2018-06-04,2018-04-05,ALLMÄN FORDONSINFORMATION,Modulen A2 frånskild permanent när jag åker från Umeå. Byter hyt,Modulen A2 frånskild permanent när jag åker från Umeå. Byter hytt i övik och får  huvudbrytaren blockerad Modul A1. Gör batterireset och återställning av   modulerna. Får tillbaka modulen A2. A1 fortsatt blockerad. Tom på vatten nu   också. Bör felsöka innan den tas i trafik igen!,00 ÖVERGRIPANDE DEFINITIONER,18024667,4,,KONTROLLERAT,,,XTK
F26,F26001,2018-06-04,2018-04-05,TRAKTIONSUTRUSTNING,Begränsning av traktionsprestanda. Felkod 15129,Begränsning av traktionsprestanda. Felkod 15129,43 TRAKTION,18024665,4,,KONTROLLERAT,,,XTK
F26,F26001,2018-06-04,2018-04-05,TRAKTIONSUTRUSTNING,Huvudbrytare felaktigt blockerad felkod 15040,Huvudbrytare felaktigt blockerad felkod 15040,43 TRAKTION,18024664,4,,KONTROLLERAT,,,XTK
F26,F26001,2018-09-04,2018-09-04,ALLMÄN FORDONSINFORMATION,Fekalietömning och fyllning vatten,,0 ALLMÄN FORDONSINFORMATION,18025080,4,,RENGJORT,Fekalietömning,,MUÅ
F26,F26001,2018-09-04,2018-09-04,TRAKTIONSUTRUSTNING,Lös jordkabel till motor axel 3,,4 TRAKTIONSUTRUSTNING,18025334,4,,FASTSATT,Skruvat fast jordkabeln,,MUÅ
F26,F26001,2018-09-04,2018-10-04,TRAKTIONSUTRUSTNING,Hastighetsgivare växellåda axel 8 trasig,"Hastighetsgivare bytt på axel 8.   Men då det inte fanns korrekt givare på hyllan för ovanlighetens skull,   Så fick föregående skift skarva ihop en givare då alla var för korta.   Men monterat ihop med alla klammer och plocke pinn.   Testkört med Mmap och givare axel 8 fungerar nu.     //TS 2018-04-10.",4 TRAKTIONSUTRUSTNING,18025493,4,,UTBYTT,Hastighetsgivare bytt.,,MUÅ
F26,F26001,2018-10-04,2018-10-04,ENERGIFÖRSÖRJNING,Byte kolskena,,3 ENERGIFÖRSÖRJNING,18025563,4,,UTBYTT,bytt kolskenor,,MUÅ
F26,F26001,2018-10-04,4/13/2018,ALLMÄN FORDONSINFORMATION,Pis a2 går inte mata in i,Pis a2 går inte mata in i,00 ÖVERGRIPANDE DEFINITIONER,18025605,4,,UPPGRADERAT,"återtällt skärmen samt startat om hela systemet, test ok",,XTK
F26,F26001,2018-10-04,2018-04-05,ALLMÄN FORDONSINFORMATION,Jordfelsbonanza. Jordfel manöverström 110v nivå 1 och 2. Frånsla,"Jordfelsbonanza. Jordfel manöverström 110v nivå 1 och 2. Frånslag   jordfelsbrytare 230v matning. Allt ligger kvar konstant.  slog tillbaka jordfelsbrytaren efter vi lagat jordfelet i mg bromsen och då   fungerade det men efter några timmar så ringde föraren och sa att den slagit   ifrån igen, det är jorfelsbrytaren för 230v uttag i M2. så förmodligen är det   fel på något av uttagen.    kollas nästa gång den är inne i verkstaden    // Terje",00 ÖVERGRIPANDE DEFINITIONER,18025604,4,,DUBBLETPOST,,,XTK
F26,F26001,2018-12-04,4/13/2018,ALLMÄN FORDONSINFORMATION,Jordfel manöverström 110v nivå 1 och nivå 2,Jordfel manöverström 110v nivå 1 och nivå 2,00 ÖVERGRIPANDE DEFINITIONER,18026743,4,,DUBBLETPOST,dublettorder,,XTK
F26,F26001,2018-12-04,4/18/2018,INREDNING,Luktar urin i den enda toan som är öppen.,Luktar urin i den enda toan som är öppen.,75 VATTEN OCH SANITET,18026577,4,,INSPEKTERAT,Inen lukt nu,TOALETT,XTK
F26,F26001,4/13/2018,4/13/2018,VAGN,fekalietömning,,1 VAGN,18027093,4,,JUSTERAD,fekalietömning,,MUÅ
F26,F26001,4/13/2018,4/13/2018,VAGN,Byte torkarblad,,1 VAGN,18027111,4,,UTBYTT,Bytt torkarblad,,MUÅ
F26,F26001,4/18/2018,4/18/2018,INREDNING,batteri till handsignallampa A1 slut,,716 INVÄNDIG UTRUSTNING FÖRARHYTT,18028550,4,,UTBYTT,Batteri utbytt,,RSUC
F26,F26001,4/18/2018,4/18/2018,INREDNING,Lås fällsits trasiga,,714 STOL PASSAGERARUTRYMME,18028560,4,,REPARERAT,Rygglås fällsitsar utbytta,,RSUC
F26,F26001,4/18/2018,4/18/2018,INREDNING,nätfickor trasiga,,717 INVÄNDIG UTRUSTNING PASSAGERARUTRYMME,18028563,4,,REPARERAT,Nätfickor reparerade,,RSUC
F26,F26001,4/18/2018,2018-12-05,INREDNING,Kaffemaskin avstängd då jag fick ta över tåget i suc. Dekal ur f,,76 BISTRO,18028537,4,,INSPEKTERAT,Var så pga av vattenläcka,,XTK
F26,F26001,4/19/2018,2019-03-01,INREDNING,Jordfelsbrytare 230v M2 slår ifrån direkt någonting stoppas i ko,"Jordfelsbrytare 230v M2 slår ifrån direkt någonting stoppas i kontakt M2 höger   sida, har slagit ifrån brytaren för 230v höger sida M2, så det fortfarande går   att använda vänster sida.  Vi började med att mäta upp samtliga uttag M2 högersida. Och det finns spänning   fram. Men så fort man kopplar in en belastning så flyger jordfelsbrytaren   direkt.   Så vi plockade ner panelen för första uttaget M2  högersida (sett från A1).  Men det var ett smärre helvete och plocka ner samt återmontera  panelen för att   det  styper överallt. Så man måste plocka bort sätena för enklast åtkomst.    //TS  Jag har kontroll dragit förskruvningen till säkring =34-F117 och   jordfelsbrytaren =34-F104 -Ok  Har konrollerat städuttagen och vänstra sidan som är ok.  Tänkte prova skifta utgångarna (4 höger och 6 vänster sida eluttagen)  på   jordfelsbrytaren =34-F104 för att säkerställa att felet inte är i brytaren.   Tyvärr fanns ej tid till detta då tåget måste ut.  TK (C10554933): ""Fortfarande frånslag jordfelsbrytare 230 v matning = inga uttag  fungerar i a2 m2"". /CF.  Skruvat loss front på sätesbox för elcentral M2 och frilagt brytare.  Mätat fram  N=Neutralledare på 230V strömutag Hö sida M2 samt  Losslagt   N=Neutralledare på jordfelsbrytare =34-F104.  Summrat mellan jord och    N=Neutralledare i strömutag på Hö sida M2. Kostaterat att jord och    N=Neutralledare ligger i hop någonstans i M2 vagn, tyroligast på Hö sida M2.   Kontroll alla jack i tågettet och enbart utag Hö sida M2 löser ut  jordfelsbrytare. Måste frilägga kanalissation Hö sida M2 genom att börja lossa   sätesbox Avstängningspanel Strömavt.2 pos ALC +M2 72 och säten. Slå av   jordfelsbrytare och losslägg  N=Neutralledare samt losslägg  N=Neutralledare på något av strömutag för att avgränsa felet.  Summra och avgränsa åt vilket håll felet ligger.  //Erik Rickardsson  Jordfelet kommer även när städuttag under säkring 34F115 som ligger vid dörr 31   och troligtvis är dragen direkt från sätesboxen på baksidan.  Vi har nu fällt säkring 34F115( Städuttag) och 34F117(230v höger sida)  .De är tape över säkringarna  och märkt med jordfel.",71 INVÄNDIG UTRUSTNING,18028936,4,,FASTKLÄMD,Lokaliserat den klämda kabeln (nollan) och isolerat den.Vid uttag 34X119 kabelnr 340704.16,,XTK
F26,F26001,4/20/2018,2018-04-05,INREDNING,Sönder frusit i vatten enligt verkstan. Så varken toalett eller,Sönder frusit i vatten enligt verkstan. Så varken toalett eller kaffemaskin   fungerar.,75 VATTEN OCH SANITET,18029268,4,,DUBBLETPOST,,TOALETT,XTK
F26,F26001,4/21/2018,2018-12-05,INREDNING,Går ej fylla vatten till toa och bistro i M1. Sitter tejp för. V,Går ej fylla vatten till toa och bistro i M1. Sitter tejp för. Vet ej vad som är  trasigt,75 VATTEN OCH SANITET,18029529,4,,INSPEKTERAT,Var så pga av vattenläcka,TOALETT,XTK
F26,F26001,4/23/2018,2018-08-05,INREDNING,Övre kyl 0 6 grader. Nedre kyl  1 0 grader,"Övre kyl 0,6 grader. Nedre kyl -1,0 grader",76 BISTRO,18029755,4,,KONTROLLERAT,Kylarna omstartade,,XTK
F26,F26001,4/24/2018,4/25/2018,CENTRAL STYRNING OCH KOMMUNIKATION,Hållare för mikrofon A1 trasig,,833 INFOTAINMENTSYSTEM,18030029,4,,UTBYTT,Mikrofonhållare utbytt,PIS,RSUC
F26,F26001,4/24/2018,4/25/2018,INREDNING,Nätfickor trasiga,,717 INVÄNDIG UTRUSTNING PASSAGERARUTRYMME,18030125,4,,REPARERAT,4 nätfickor reparerade,,RSUC
F26,F26001,4/24/2018,4/25/2018,INREDNING,Vred för låsning av bord trasiga,,717 INVÄNDIG UTRUSTNING PASSAGERARUTRYMME,18030027,4,,UTBYTT,Vred till bord utbytta,,RSUC
F26,F26001,4/25/2018,2018-03-05,VAGN,Strålkastare  fel på glödtråd/ 13303,"Strålkastare, fel på glödtråd/ 13303",11 VAGNSKORG,18030567,4,,UTBYTT,Bytt ut trasig lampa,,XTK
F26,F26001,4/26/2018,5/24/2018,ALLMÄN FORDONSINFORMATION,Jordfel nivå 1 och 2,"Jordfel nivå 1 och 2  troligen en  magnetskenbroms, dyker upp vid mek.bromsprov.  Nivå 2 är ej aktivt- Har provat göra mek bromsprovet-ok ua",00 ÖVERGRIPANDE DEFINITIONER,18030786,4,,KONTROLLERAT,Kontrollerad-ua,,XTK
F26,F26001,4/26/2018,8/23/2018,HJÄLPKRAFTSSYSTEM,Batteriladdning A2 fungerar ej,"Batteriladdning A2 fungerar ej  kontrollmätt batteri, ligger på 11v . men då lågspänningsomvandlaren inte är igå  ng så har man så vitt jag kan se på schemat ingen laddning på batteriet och nu ä  r den så låg att det inte hjälper om man slår igång den.  så vi måste få in den på spår 135 och ladda batterierna manuellt med 110v   laddaren",62 BATTERI,18030785,4,,FYLLT PÅ,"laddad med extern laddare. omstart av systemet och nu laddar den som den skall, test ok",,XTK
F26,F26001,4/27/2018,2018-03-05,ALLMÄN FORDONSINFORMATION,Strålkastare övre ur funktion.,Strålkastare övre ur funktion.,00 ÖVERGRIPANDE DEFINITIONER,18030833,4,,UTBYTT,Bytt ut trasig lampa,,XTK
F26,F26001,4/28/2018,2018-04-06,VAGN,Det läker in vatten i övre vänstra hörnet på frontrutan  alterna,"Det läker in vatten i övre vänstra hörnet på frontrutan, alternativt högre upp.   Vatten rinner iaf på insidan av rutan.",16 FÖNSTER,18031423,4,,UPPGRADERAT,Rutan är tätad,,XTK
F26,F26001,4/28/2018,10/18/2018,VAGN,Klottrat vänster sida på båda sidor om förardörren (01),Klottrat vänster sida på båda sidor om förardörren (01),12 UTVÄNDIG UTRUSTNING,18031410,4,,RENGJORT,,,XTK
F26,F26001,4/29/2018,11/26/2018,VAGN,Kopplet i A2 skadat  Huven saknas. Multförbud.,"Kopplet i a2 skadat, går inte att multa. Huven saknas.",14 DRAG-OCH STÖTINRÄTTNING,18031447,4,,UTBYTT,Koppel utbytt,,XTK
F26,F26001,4/30/2018,5/24/2018,INREDNING,Strömutagen i vagnen ur funk ingen ström kommer fram.,Strömutagen i vagnen ur funk ingen ström kommer fram.,71 INVÄNDIG UTRUSTNING,18031659,4,,DUBBLETPOST,"Lika problem som ordern med"" jorfelsbrytare 230v M2 vagnen 230v uttagen""",,XTK
F26,F26001,2018-02-05,2018-04-05,TRAKTIONSUTRUSTNING,Huvudbrytare felaktig   Blockerad Felkod 15040 Begränsning av tr,Huvudbrytare felaktig - Blockerad Felkod 15040 Begränsning av traktionsprestanda  Felkod 15129,43 TRAKTION,18032135,4,,NOLLSTÄLLT,Justerat,,XTK
F26,F26001,2018-07-05,2018-08-05,INREDNING,Spets saknas,Spets saknas,71 INVÄNDIG UTRUSTNING,18033321,4,,DUBBLETPOST,dublett,,XTK
F26,F26001,2018-07-05,2018-08-05,INREDNING,Lys rör trasigt vid A2,Lys rör trasigt vid A2,74 INVÄNDIG BELYSNING,18033319,4,,UTBYTT,Lysrör utbytt,,XTK
F26,F26001,2018-07-05,2018-08-05,INREDNING,Rygg lås trasiga plats 12.13,Rygg lås trasiga plats 12.13,71 INVÄNDIG UTRUSTNING,18033355,4,,UTBYTT,Rygglås utbytta,,XTK
F26,F26001,2018-07-05,2018-08-05,INREDNING,Spett saknas,Spets saknas,71 INVÄNDIG UTRUSTNING,18033320,4,,FYLLT PÅ,Spett kompleterat,,XTK
F26,F26001,2018-07-05,2018-11-05,INREDNING,Går ej fylla vatten i Bistron läckage i Uvell lampa enhet,Går ej fylla vatten i Bistron läckage i Uvell lampa en het  Kvartsrör i enheten krossad !  beställt ny av M. Luther.  Finns nu hemma på hyllan AHB0512  Artnr. 1993097    / Magnus,76 BISTRO,18033330,4,,UTBYTT,"Tåget hade inte blivit frystömt utav tkab när det var nerdödat och därav hade Kvartröret frusit sönder, Nu utbytt och fungerar UA",,XTK
